K,noise_percent,iterations,converged,initial_acc,final_acc
10,30.0,5,True,0.2222222222222222,0.14814814814814814
10,30.0,4,True,0.07407407407407407,0.09876543209876543
10,30.0,5,True,0.16049382716049382,0.08641975308641975
10,30.0,5,True,0.1111111111111111,0.13580246913580246
10,30.0,11,True,0.1111111111111111,0.1111111111111111
10,30.0,2,True,1.0,1.0
10,30.0,7,True,0.16049382716049382,0.1728395061728395
10,30.0,2,True,1.0,1.0
10,30.0,2,True,0.08641975308641975,0.08641975308641975
10,30.0,2,True,0.08641975308641975,0.08641975308641975
10,30.0,2,True,0.08641975308641975,0.08641975308641975
10,30.0,10,True,0.12345679012345678,0.1111111111111111
10,30.0,8,True,0.16049382716049382,0.04938271604938271
10,30.0,2,True,1.0,1.0
10,30.0,2,True,0.07407407407407407,0.07407407407407407
10,30.0,4,True,0.09876543209876543,0.13580246913580246
10,30.0,2,True,1.0,1.0
10,30.0,11,True,0.08641975308641975,0.04938271604938271
10,30.0,2,True,1.0,1.0
10,30.0,2,True,0.1111111111111111,0.1111111111111111
10,35.0,2,True,0.037037037037037035,0.037037037037037035
10,35.0,8,True,0.1111111111111111,0.13580246913580246
10,35.0,2,True,0.13580246913580246,0.13580246913580246
10,35.0,2,True,0.09876543209876543,0.09876543209876543
10,35.0,4,True,0.12345679012345678,0.1728395061728395
10,35.0,3,True,0.07407407407407407,0.08641975308641975
10,35.0,3,True,0.16049382716049382,0.12345679012345678
10,35.0,7,True,0.09876543209876543,0.12345679012345678
10,35.0,2,True,0.1728395061728395,0.1728395061728395
10,35.0,7,True,0.13580246913580246,0.06172839506172839
10,35.0,2,True,0.07407407407407407,0.07407407407407407
10,35.0,9,True,0.14814814814814814,0.07407407407407407
10,35.0,12,True,0.09876543209876543,0.12345679012345678
10,35.0,2,True,0.14814814814814814,0.14814814814814814
10,35.0,9,True,0.13580246913580246,0.14814814814814814
10,35.0,3,True,0.16049382716049382,0.14814814814814814
10,35.0,3,True,0.06172839506172839,0.16049382716049382
10,35.0,10,True,0.1111111111111111,0.09876543209876543
10,35.0,11,True,0.037037037037037035,0.09876543209876543
10,35.0,9,True,0.09876543209876543,0.04938271604938271
10,35.0,2,True,0.07407407407407407,0.07407407407407407
10,35.0,13,True,0.1111111111111111,0.04938271604938271
10,35.0,2,True,0.06172839506172839,0.06172839506172839
10,35.0,3,True,0.13580246913580246,0.25925925925925924
10,35.0,5,True,0.1728395061728395,0.12345679012345678
10,35.0,2,True,0.13580246913580246,0.13580246913580246
10,35.0,7,True,0.08641975308641975,0.08641975308641975
10,35.0,4,True,0.13580246913580246,0.1111111111111111
10,35.0,3,True,0.16049382716049382,0.06172839506172839
10,35.0,3,True,0.07407407407407407,0.1111111111111111
10,35.0,2,True,1.0,1.0
10,35.0,3,True,0.12345679012345678,0.06172839506172839
