M,noise_percent,readout,ridge_solve_seconds,digit_cell_accuracy,coincidence_recall,coincidence_accuracy,coincidence_correlation,feedback_overlap_fraction,feedback_target_probability,feedback_top1_accuracy
200,30.0,regression,0.03819990158081055,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987449,0.31826666666666664,0.0044711144388216925,0.0
200,30.0,attention,0.03819990158081055,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,50.0,regression,0.03819990158081055,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3189333333333333,0.005595309097803652,0.0
200,50.0,attention,0.03819990158081055,0.11283950617283954,0.27848765432098765,0.7510771604938271,0.060808065210796666,0.2315333333333333,0.0022855409783027183,0.0
200,75.0,regression,0.03819990158081055,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987443,0.3203999999999999,0.004335861703562935,0.0
200,75.0,attention,0.03819990158081055,0.10950617283950617,0.285679012345679,0.7416234567901236,0.05683945855521494,0.2341333333333333,0.0034685984694113026,0.0
200,100.0,regression,0.03819990158081055,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987449,0.31426666666666664,0.004066487369202693,0.01
200,100.0,attention,0.03819990158081055,0.11197530864197532,0.3720061728395062,0.6977006172839505,0.070846844429981,0.23479999999999993,0.004328206048101175,0.01
300,0.0,regression,0.018693923950195312,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,0.0,attention,0.018693923950195312,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,2.0,regression,0.018693923950195312,0.12827160493827142,0.6517592592592593,0.7645308641975306,0.3085189688030029,0.3415333333333333,0.4314115307794028,0.57
300,2.0,attention,0.018693923950195312,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,5.0,regression,0.018693923950195312,0.11111111111111088,0.9645370370370369,0.3787037037037042,0.187396092607371,0.3148666666666665,0.0022435863655715428,0.0
300,5.0,attention,0.018693923950195312,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,10.0,regression,0.018693923950195312,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.31266666666666654,0.0014754010160478448,0.0
300,10.0,attention,0.018693923950195312,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,15.0,regression,0.018693923950195312,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987449,0.3201333333333332,0.004484030999670437,0.0
300,15.0,attention,0.018693923950195312,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,20.0,regression,0.018693923950195312,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987443,0.31819999999999987,0.0029273118040193872,0.0
300,20.0,attention,0.018693923950195312,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,30.0,regression,0.018693923950195312,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.31620000000000004,0.0019569353834022955,0.0
300,30.0,attention,0.018693923950195312,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,50.0,regression,0.018693923950195312,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3208666666666665,0.004051853776920166,0.0
300,50.0,attention,0.018693923950195312,0.11086419753086417,0.29802469135802484,0.7367469135802467,0.05998678525657753,0.24359999999999998,0.0024056003105624784,0.0
300,75.0,regression,0.018693923950195312,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.31279999999999986,0.003032623651607264,0.0
300,75.0,attention,0.018693923950195312,0.10469135802469137,0.3125617283950617,0.7261604938271603,0.05969335342265883,0.23393333333333322,0.0008883230839800663,0.0
300,100.0,regression,0.018693923950195312,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3153999999999999,0.003908538533196223,0.0
300,100.0,attention,0.018693923950195312,0.1133333333333333,0.38783950617283947,0.6882746913580248,0.07283613089811784,0.2400666666666666,0.0009635804455652188,0.0
500,0.0,regression,0.33780956268310547,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,0.0,attention,0.33780956268310547,1.0,1.0,1.0,1.0,1.0,1.0,1.0
