target,corrupt_frac,input_jaccard,engram_overlap
75,0.2,0.2831858407079646,0.32
75,0.25,0.236569274269557,0.36
75,0.3,0.18932443703085905,0.2866666666666667
75,0.4,0.12961719274680994,0.26666666666666666
75,0.5,0.09141895681435783,0.2
75,0.6,0.053554040895813046,0.25333333333333335
75,0.75,0.03494837172359015,0.19333333333333333
75,0.9,0.010183299389002037,0.14666666666666667
75,1.0,0.0,0.12666666666666668
144,0.0,1.0,1.0
144,0.05,0.6560509554140127,0.6133333333333333
144,0.1,0.4723127035830619,0.5066666666666667
144,0.15,0.3605263157894737,0.46
144,0.2,0.28869374313940727,0.38666666666666666
144,0.25,0.22709923664122136,0.34
144,0.3,0.19469759734879868,0.31333333333333335
144,0.4,0.1348464619492657,0.29333333333333333
144,0.5,0.09497206703910614,0.30666666666666664
144,0.6,0.06985645933014355,0.2
144,0.75,0.03800475059382423,0.18666666666666668
144,0.9,0.01152542372881356,0.15333333333333332
144,1.0,0.0,0.15333333333333332
184,0.0,1.0,1.0
184,0.05,0.6582278481012658,0.6133333333333333
184,0.1,0.4790996784565916,0.56
184,0.15,0.36304062909567497,0.4066666666666667
184,0.2,0.2839779005524862,0.37333333333333335
184,0.25,0.22857142857142856,0.34
184,0.3,0.18524727577535624,0.35333333333333333
184,0.4,0.12195121951219512,0.29333333333333333
184,0.5,0.09090909090909091,0.22
184,0.6,0.061323032351521006,0.20666666666666667
184,0.75,0.029165001997602878,0.17333333333333334
184,0.9,0.009510869565217392,0.18666666666666668
184,1.0,0.0,0.15333333333333332
114,0.0,1.0,1.0
114,0.05,0.6531049250535332,0.6333333333333333
114,0.1,0.48242811501597443,0.49333333333333335
114,0.15,0.3579920739762219,0.46
114,0.2,0.2910284463894967,0.38666666666666666
114,0.25,0.2300380228136882,0.36
114,0.3,0.18729096989966554,0.34
114,0.4,0.1342685370741483,0.3
114,0.5,0.09497206703910614,0.26
114,0.6,0.0626808100289296,0.24
114,0.75,0.03571428571428571,0.21333333333333335
114,0.9,0.010183299389002037,0.16666666666666666
114,1.0,0.0,0.14
