clue_fraction,target,coinc_acc,coinc_sens,coinc_spec,unk_acc_initial_guess,unk_acc_dynamics_coinc,unk_acc_numpy_conflict_mask,exact_initial,exact_dynamics,exact_numpy
0.27,25,0.855246913580247,0.5061728395061729,0.8940329218106996,0.22033898305084745,0.8305084745762712,1.0,0,0,1
0.27,99,0.8114197530864198,0.3425925925925926,0.8635116598079561,0.1694915254237288,0.23728813559322035,0.288135593220339,0,0,0
0.27,26,0.841358024691358,0.4382716049382716,0.8861454046639232,0.23728813559322035,0.6440677966101694,0.1864406779661017,0,0,0
0.27,37,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.27,2,0.7617283950617284,0.21604938271604937,0.8223593964334706,0.05084745762711865,0.1016949152542373,0.05084745762711865,0,0,0
0.27,182,0.8240740740740741,0.3148148148148148,0.8806584362139918,0.15254237288135594,0.22033898305084745,0.1016949152542373,0,0,0
0.27,170,0.7694444444444445,0.2993827160493827,0.821673525377229,0.1016949152542373,0.2033898305084746,0.0847457627118644,0,0,0
0.27,88,0.8108024691358025,0.41358024691358025,0.8549382716049383,0.13559322033898305,0.0847457627118644,0.03389830508474576,0,0,0
0.27,190,0.7691358024691358,0.23765432098765432,0.8281893004115226,0.0847457627118644,0.1016949152542373,0.2033898305084746,0,0,0
0.27,123,0.7950617283950617,0.24074074074074073,0.8566529492455418,0.11864406779661017,0.1694915254237288,0.03389830508474576,0,0,0
0.27,54,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.27,8,0.7845679012345679,0.2716049382716049,0.8415637860082305,0.06779661016949153,0.06779661016949153,0.05084745762711865,0,0,0
0.27,101,0.7978395061728395,0.2808641975308642,0.855281207133059,0.11864406779661017,0.22033898305084745,0.13559322033898305,0,0,0
0.27,104,0.8478395061728395,0.5370370370370371,0.8823731138545954,0.15254237288135594,0.423728813559322,0.3050847457627119,0,0,0
0.27,171,0.7873456790123456,0.23148148148148148,0.8491083676268861,0.1694915254237288,0.13559322033898305,0.15254237288135594,0,0,0
0.27,41,0.945679012345679,0.845679012345679,0.9567901234567902,0.576271186440678,1.0,1.0,0,1,1
