sigma,target,initial_overlap,cleaned_overlap,iters,cell_acc,exact,recon_corr_initial,recon_corr_cleaned,recon_mse_cleaned
0.1,122,0.9666666666666667,1.0,2,1.0,1,0.9923520507553174,0.999999999999757,1.09262995e-13
0.1,32,0.98,1.0,2,1.0,1,0.9960017142806278,0.9999999999998349,1.5872286e-13
0.1,41,0.9733333333333334,1.0,2,1.0,1,0.9929386866450318,0.9999999999997513,8.582743e-14
0.1,199,0.9933333333333333,1.0,2,1.0,1,0.9980583491844469,0.9999999999996606,1.4393592e-13
0.1,182,0.9866666666666667,1.0,2,1.0,1,0.9965926970394071,0.9999999999995861,1.2611247e-13
0.1,57,0.9733333333333334,1.0,2,1.0,1,0.9846372432192445,0.9999999999993916,1.1637734e-13
0.1,137,0.9666666666666667,1.0,2,1.0,1,0.990329960388825,0.999999999999713,1.1871995e-13
0.1,14,0.9866666666666667,1.0,2,1.0,1,0.9955129999741383,0.9999999999997486,8.5023887e-14
0.1,94,0.9733333333333334,1.0,2,1.0,1,0.9915825612433664,0.9999999999995589,1.425826e-13
0.1,152,0.9733333333333334,1.0,2,1.0,1,0.9929581089758873,0.9999999999998265,1.4838165e-13
0.2,91,0.5866666666666667,1.0,2,1.0,1,0.8258009318044217,0.9999999999996921,1.12216395e-13
0.2,89,0.7466666666666667,1.0,2,1.0,1,0.9305205986002334,0.9999999999995456,1.6943044e-13
0.2,25,0.6666666666666666,1.0,2,1.0,1,0.9070282378295427,0.9999999999998251,1.4637616e-13
0.2,160,0.76,1.0,2,1.0,1,0.9535327700160623,0.9999999999997242,1.4160407e-13
0.2,183,0.8066666666666666,1.0,2,1.0,1,0.963296396933108,0.9999999999996643,1.02217944e-13
0.2,25,0.7733333333333333,1.0,2,1.0,1,0.9664114997382732,0.9999999999998251,1.4637616e-13
0.2,156,0.7,1.0,2,1.0,1,0.8873406099593861,0.9999999999995716,1.186311e-13
0.2,148,0.6933333333333334,1.0,2,1.0,1,0.930130570041361,0.9999999999998176,1.6838337e-13
0.2,45,0.7133333333333334,1.0,2,1.0,1,0.9217874668509882,0.9999999999997923,1.2179807e-13
0.2,44,0.6466666666666666,1.0,2,1.0,1,0.8437142775602839,0.9999999999996018,8.232535e-14
0.2,54,0.6866666666666666,1.0,2,1.0,1,0.9100588202596591,0.9999999999997466,1.3687887e-13
0.2,63,0.7133333333333334,1.0,2,1.0,1,0.8895431949613188,0.9999999999996736,1.0717822e-13
0.2,167,0.7666666666666667,1.0,2,1.0,1,0.8921245909599455,0.9999999999995375,1.13448686e-13
0.2,146,0.8066666666666666,1.0,2,1.0,1,0.9145935112897446,0.9999999999997532,1.2362297e-13
0.2,68,0.8133333333333334,1.0,2,1.0,1,0.914353454055861,0.9999999999992965,9.680164e-14
0.2,149,0.66,1.0,2,1.0,1,0.8738144636833431,0.9999999999998174,1.0159429e-13
0.2,90,0.7666666666666667,1.0,2,1.0,1,0.9174737357261528,0.9999999999993794,9.5540356e-14
0.2,165,0.7133333333333334,1.0,2,1.0,1,0.8991260681619618,0.9999999999998149,1.10529444e-13
0.2,170,0.8466666666666667,1.0,2,1.0,1,0.9629417518139342,0.9999999999997601,1.9131804e-13
0.2,44,0.62,1.0,2,1.0,1,0.7642758308339721,0.9999999999996018,8.232535e-14
0.2,176,0.64,1.0,2,1.0,1,0.912730661828068,0.9999999999997304,7.629873e-14
0.2,197,0.6866666666666666,1.0,2,1.0,1,0.8304732485113163,0.9999999999994842,7.9066555e-14
0.2,133,0.6533333333333333,1.0,2,1.0,1,0.7404512678075638,0.99999999999941,5.667647e-14
0.2,128,0.8,1.0,2,1.0,1,0.9193706212393118,0.9999999999998124,1.3841212e-13
0.2,44,0.84,1.0,2,1.0,1,0.938525190487464,0.9999999999996018,8.232535e-14
0.2,156,0.8133333333333334,1.0,2,1.0,1,0.9273317899371499,0.9999999999995716,1.186311e-13
0.2,79,0.7333333333333333,1.0,2,1.0,1,0.8014796254979645,0.9999999999990684,1.01064265e-13
0.2,34,0.7866666666666666,1.0,2,1.0,1,0.9491365140559531,0.9999999999996939,1.4921139e-13
0.2,87,0.7266666666666667,1.0,2,1.0,1,0.8156859048316194,0.9999999999997549,7.789876e-14
0.2,127,0.64,1.0,2,1.0,1,0.8077973579584116,0.999999999999577,8.332028e-14
0.2,31,0.7866666666666666,1.0,2,1.0,1,0.9499969149763033,0.9999999999996771,1.3266179e-13
0.2,14,0.74,1.0,2,1.0,1,0.9005600918090119,0.9999999999997486,8.5023887e-14
0.2,168,0.78,1.0,2,1.0,1,0.936842764861045,0.9999999999997097,1.1447036e-13
0.2,133,0.7933333333333333,1.0,2,1.0,1,0.8864259522452846,0.99999999999941,5.667647e-14
0.2,25,0.7333333333333333,1.0,2,1.0,1,0.9378459227229243,0.9999999999998251,1.4637616e-13
0.2,194,0.76,1.0,2,1.0,1,0.8301384468810329,0.9999999999995247,1.09006005e-13
0.2,1,0.68,1.0,2,1.0,1,0.9017602454863384,0.999999999999604,7.890283e-14
0.2,129,0.6933333333333334,1.0,2,1.0,1,0.9332193424912837,0.9999999999997303,1.3712122e-13
0.2,64,0.76,1.0,2,1.0,1,0.9391948849349445,0.9999999999996709,1.12447906e-13
0.2,57,0.72,1.0,2,1.0,1,0.893691229989517,0.9999999999993916,1.1637734e-13
0.2,89,0.72,1.0,2,1.0,1,0.9192632761622945,0.9999999999995456,1.6943044e-13
0.2,130,0.6533333333333333,1.0,2,1.0,1,0.8577621629020274,0.9999999999995617,1.06121654e-13
0.2,137,0.7266666666666667,1.0,2,1.0,1,0.8929233401155339,0.999999999999713,1.1871995e-13
0.2,81,0.7666666666666667,1.0,2,1.0,1,0.8960821949308909,0.9999999999997923,8.229387e-14
0.2,8,0.7666666666666667,1.0,2,1.0,1,0.9285824440477671,0.9999999999996491,1.2465638e-13
0.2,24,0.7066666666666667,1.0,2,1.0,1,0.9114299270521253,0.9999999999996522,7.425936e-14
0.2,76,0.72,1.0,2,1.0,1,0.9170465404128746,0.9999999999998106,1.397662e-13
0.2,87,0.7733333333333333,1.0,2,1.0,1,0.904876744628398,0.9999999999997549,7.789876e-14
0.2,37,0.84,1.0,2,1.0,1,0.9395983540313195,0.9999999999996518,9.87688e-14
0.2,1,0.7466666666666667,1.0,2,1.0,1,0.8502489738171636,0.999999999999604,7.890283e-14
0.2,83,0.78,1.0,2,1.0,1,0.9137583876914385,0.9999999999997398,8.6093316e-14
0.2,5,0.8733333333333333,1.0,2,1.0,1,0.9501587335883215,0.9999999999996532,1.1235064e-13
0.2,88,0.7466666666666667,1.0,2,1.0,1,0.9136144062167271,0.9999999999997368,1.2301824e-13
0.2,129,0.7333333333333333,1.0,2,1.0,1,0.9232922262116758,0.9999999999997303,1.3712122e-13
0.2,102,0.7866666666666666,1.0,2,1.0,1,0.9479312335112058,0.9999999999998674,1.313553e-13
0.2,15,0.7,1.0,2,1.0,1,0.9068988230703469,0.9999999999998384,1.3864764e-13
0.2,96,0.74,1.0,2,1.0,1,0.9212499327703348,0.9999999999997086,1.369963e-13
0.2,177,0.74,1.0,2,1.0,1,0.9409181406138828,0.9999999999998018,1.01896187e-13
0.2,114,0.7066666666666667,1.0,2,1.0,1,0.9625219077529601,0.9999999999998321,1.923785e-13
0.2,104,0.7466666666666667,1.0,2,1.0,1,0.9094762501240201,0.9999999999998244,1.6054484e-13
0.3,192,0.58,1.0,2,1.0,1,0.8155030260809412,0.9999999999995847,1.3587322e-13
0.3,52,0.7666666666666667,1.0,2,1.0,1,0.8709952723647943,0.9999999999991129,1.1646227e-13
0.3,156,0.5666666666666667,1.0,2,1.0,1,0.8376623413875339,0.9999999999995716,1.186311e-13
0.3,121,0.6666666666666666,1.0,2,1.0,1,0.865366643058076,0.9999999999995056,1.5368859e-13
0.3,199,0.4866666666666667,1.0,2,1.0,1,0.7007301800070238,0.9999999999996606,1.4393592e-13
0.3,93,0.6266666666666667,1.0,2,1.0,1,0.7790737984433096,0.9999999999995731,8.414748e-14
0.3,174,0.64,1.0,2,1.0,1,0.8667113185011227,0.9999999999997291,1.2779934e-13
0.3,3,0.5866666666666667,1.0,2,1.0,1,0.8717092733115471,0.9999999999996283,1.640671e-13
0.3,177,0.4533333333333333,1.0,2,1.0,1,0.8336720466280567,0.9999999999998018,1.01896187e-13
0.3,166,0.5,1.0,2,1.0,1,0.7668167204264265,0.9999999999996254,9.458424e-14
0.3,68,0.6066666666666667,1.0,2,1.0,1,0.7468497876512604,0.9999999999992965,9.680164e-14
0.3,183,0.6133333333333333,1.0,2,1.0,1,0.8389144261059609,0.9999999999996643,1.02217944e-13
0.3,93,0.58,1.0,2,1.0,1,0.7742223778749022,0.9999999999995731,8.414748e-14
0.3,16,0.6,1.0,2,1.0,1,0.8453408899438157,0.9999999999995982,1.4626287e-13
0.3,7,0.5666666666666667,1.0,2,1.0,1,0.8862613345192104,0.9999999999998489,1.4896053e-13
0.3,100,0.58,1.0,2,1.0,1,0.8899255876269637,0.999999999999812,1.3224292e-13
0.3,78,0.5466666666666666,1.0,2,1.0,1,0.8409999323636166,0.999999999999482,1.307628e-13
0.3,26,0.56,1.0,2,1.0,1,0.7163572861089532,0.9999999999992656,1.2837417e-13
0.3,186,0.49333333333333335,1.0,2,1.0,1,0.8223591518358812,0.9999999999997016,1.5404118e-13
0.3,147,0.62,1.0,2,1.0,1,0.8736601627970838,0.9999999999997408,7.112848e-14
0.3,102,0.5333333333333333,1.0,2,1.0,1,0.8518000292533295,0.9999999999998674,1.313553e-13
0.3,157,0.5466666666666666,1.0,2,1.0,1,0.8016225892752775,0.9999999999997984,7.8104366e-14
0.3,57,0.4866666666666667,1.0,2,1.0,1,0.7591654297106705,0.9999999999993916,1.1637734e-13
0.3,128,0.6066666666666667,1.0,2,1.0,1,0.9165539737482052,0.9999999999998124,1.3841212e-13
0.3,160,0.5133333333333333,1.0,2,1.0,1,0.812161231977219,0.9999999999997242,1.4160407e-13
0.3,167,0.5466666666666666,1.0,2,1.0,1,0.7732681085580185,0.9999999999995375,1.13448686e-13
0.3,175,0.66,1.0,2,1.0,1,0.8590229768704291,0.9999999999994457,1.4993096e-13
0.3,194,0.54,1.0,2,1.0,1,0.6617702482673065,0.9999999999995247,1.09006005e-13
0.3,156,0.5533333333333333,1.0,2,1.0,1,0.7564215057717748,0.9999999999995716,1.186311e-13
0.3,62,0.4266666666666667,1.0,2,1.0,1,0.7287766534700559,0.9999999999997672,1.225732e-13
0.3,91,0.6,1.0,2,1.0,1,0.7227819305688362,0.9999999999996921,1.12216395e-13
0.3,139,0.6666666666666666,1.0,2,1.0,1,0.8170700998934756,0.999999999999624,1.10334464e-13
0.3,130,0.3933333333333333,1.0,2,1.0,1,0.6711007380904717,0.9999999999995617,1.06121654e-13
0.3,165,0.5,1.0,2,1.0,1,0.6331000369427054,0.9999999999998149,1.10529444e-13
0.3,4,0.5866666666666667,1.0,2,1.0,1,0.8847501484450425,0.9999999999997857,1.3762704e-13
0.3,107,0.6066666666666667,1.0,2,1.0,1,0.6049559447504512,0.9999999999996344,7.917188e-14
0.3,77,0.6066666666666667,1.0,2,1.0,1,0.7886095643747641,0.9999999999993895,1.5703854e-13
0.3,139,0.56,1.0,2,1.0,1,0.7942333669193032,0.999999999999624,1.10334464e-13
0.3,183,0.56,1.0,2,1.0,1,0.8111160931684853,0.9999999999996643,1.02217944e-13
0.3,163,0.4266666666666667,1.0,3,1.0,1,0.7556186292440498,0.9999999999996457,1.10300766e-13
0.3,135,0.5333333333333333,1.0,2,1.0,1,0.8198336080275516,0.9999999999997367,1.1026918e-13
0.3,34,0.5533333333333333,1.0,2,1.0,1,0.8645038185411358,0.9999999999996939,1.4921139e-13
0.3,50,0.5466666666666666,1.0,2,1.0,1,0.8403310428537378,0.9999999999997936,1.3691258e-13
0.3,23,0.58,1.0,2,1.0,1,0.8414316206603959,0.999999999999733,1.1172297e-13
0.3,64,0.5733333333333334,1.0,2,1.0,1,0.8606526216027475,0.9999999999996709,1.12447906e-13
0.3,149,0.49333333333333335,1.0,2,1.0,1,0.7541158139399922,0.9999999999998174,1.0159429e-13
0.3,97,0.5733333333333334,1.0,2,1.0,1,0.7601603621861225,0.9999999999997867,1.2643597e-13
0.3,19,0.6133333333333333,1.0,2,1.0,1,0.886716653675994,0.9999999999998499,1.06017415e-13
0.3,43,0.66,1.0,2,1.0,1,0.8186000061353694,0.9999999999995451,1.1262278e-13
0.3,9,0.5333333333333333,1.0,2,1.0,1,0.7509181587818141,0.9999999999996128,1.311818e-13
0.3,142,0.5333333333333333,1.0,2,1.0,1,0.8793414823681422,0.9999999999997814,1.7332502e-13
0.3,103,0.5933333333333334,1.0,2,1.0,1,0.8168693975669872,0.9999999999995699,1.3389897e-13
0.3,56,0.6866666666666666,1.0,2,1.0,1,0.8130667375575285,0.9999999999993835,1.714059e-13
0.3,6,0.54,1.0,2,1.0,1,0.8156659926829364,0.9999999999996804,1.6263998e-13
0.3,22,0.47333333333333333,1.0,2,1.0,1,0.7962705740244296,0.9999999999993711,1.4204419e-13
0.3,12,0.5466666666666666,1.0,2,1.0,1,0.8103750175763853,0.9999999999997279,1.1239684e-13
0.3,93,0.5133333333333333,1.0,2,1.0,1,0.6785224692267048,0.9999999999995731,8.414748e-14
0.3,144,0.6733333333333333,1.0,2,1.0,1,0.8913785715783984,0.9999999999996532,1.3539643e-13
0.3,71,0.5333333333333333,1.0,2,1.0,1,0.8664739408475852,0.9999999999998145,1.0991501e-13
0.3,178,0.42,1.0,3,1.0,1,0.7841120896247655,0.9999999999998289,1.1331677e-13
0.4,169,0.44,1.0,2,1.0,1,0.8268377454579263,0.9999999999998078,1.3998087e-13
0.4,194,0.36,0.17333333333333334,3,0.09876543209876543,0,0.6346810605958817,0.7088276493877972,0.03664135
0.4,0,0.4866666666666667,1.0,2,1.0,1,0.6727603942340671,0.9999999999997998,1.5200784e-13
0.4,178,0.4533333333333333,1.0,2,1.0,1,0.7757870866763295,0.9999999999998289,1.1331677e-13
0.4,74,0.4533333333333333,1.0,2,1.0,1,0.781486209227209,0.9999999999997453,2.392303e-13
0.4,27,0.35333333333333333,1.0,3,1.0,1,0.7014464636240323,0.9999999999997238,1.3656265e-13
0.4,195,0.4533333333333333,1.0,2,1.0,1,0.7629232103384214,0.9999999999993987,1.3255281e-13
0.4,90,0.4066666666666667,1.0,3,1.0,1,0.7341344040544282,0.9999999999993794,9.5540356e-14
0.4,148,0.37333333333333335,0.26,4,0.08641975308641975,0,0.707373820048847,0.17014257915042494,0.1961355
0.4,135,0.4266666666666667,1.0,2,1.0,1,0.793319642463149,0.9999999999997367,1.1026918e-13
0.4,72,0.5,1.0,2,1.0,1,0.7680193921688513,0.9999999999998361,9.109901e-14
0.4,70,0.44666666666666666,1.0,2,1.0,1,0.7574671035995064,0.999999999999617,1.4656099e-13
0.4,120,0.41333333333333333,1.0,2,1.0,1,0.7372312087710867,0.9999999999998189,1.8241876e-13
0.4,169,0.42,1.0,2,1.0,1,0.8222995857624306,0.9999999999998078,1.3998087e-13
0.4,161,0.36,0.23333333333333334,2,0.13580246913580246,0,0.6836657119580825,0.5994213285830162,0.04992379
0.4,18,0.41333333333333333,0.2866666666666667,4,0.037037037037037035,0,0.6338681686119418,0.05971383130147591,0.15871483
0.4,156,0.36,0.2,2,0.08641975308641975,0,0.7433849373203918,0.1454181083189316,0.13249148
0.4,44,0.38,1.0,3,1.0,1,0.5806283334431701,0.9999999999996018,8.232535e-14
0.4,33,0.41333333333333333,1.0,3,1.0,1,0.8091788080666359,0.9999999999995361,7.860984e-14
0.4,63,0.41333333333333333,1.0,2,1.0,1,0.557993236298856,0.9999999999996736,1.0717822e-13
0.4,101,0.4,1.0,3,1.0,1,0.5548026402240054,0.9999999999996589,7.694079e-14
0.4,5,0.4,1.0,2,1.0,1,0.7446686321428962,0.9999999999996532,1.1235064e-13
0.4,65,0.5333333333333333,1.0,2,1.0,1,0.7559401680737743,0.9999999999995558,1.2668676e-13
0.4,16,0.52,1.0,2,1.0,1,0.7428639937158182,0.9999999999995982,1.4626287e-13
