density,noise_percent,iterations,converged,initial_acc,final_acc
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,35.0,2,True,1.0,1.0
0.002,40.0,3,True,0.18518518518518517,1.0
0.002,40.0,3,True,0.19753086419753085,1.0
0.002,40.0,2,True,1.0,1.0
0.002,40.0,3,True,0.20987654320987653,1.0
0.002,40.0,3,True,0.2962962962962963,1.0
0.002,40.0,3,True,0.9135802469135802,1.0
0.002,40.0,3,True,0.691358024691358,1.0
0.002,40.0,3,True,0.3950617283950617,1.0
0.002,40.0,2,True,1.0,1.0
0.002,40.0,12,True,0.24691358024691357,0.12345679012345678
0.002,40.0,3,True,0.18518518518518517,1.0
0.002,40.0,5,True,0.1111111111111111,0.1111111111111111
0.002,40.0,3,True,0.41975308641975306,1.0
0.002,40.0,3,True,0.37037037037037035,1.0
0.002,40.0,2,True,1.0,1.0
0.002,40.0,5,True,0.1728395061728395,0.16049382716049382
0.002,40.0,4,True,0.20987654320987653,1.0
0.002,40.0,9,True,0.09876543209876543,0.06172839506172839
0.002,40.0,2,True,1.0,1.0
0.002,40.0,7,True,0.13580246913580246,0.1111111111111111
0.002,40.0,3,True,0.20987654320987653,1.0
0.002,40.0,5,True,0.2222222222222222,1.0
0.002,40.0,15,True,0.19753086419753085,0.14814814814814814
0.002,40.0,3,True,0.2222222222222222,1.0
0.002,40.0,7,True,0.19753086419753085,0.08641975308641975
0.002,40.0,3,True,0.2345679012345679,1.0
0.002,40.0,3,True,0.1728395061728395,1.0
0.002,40.0,15,True,0.1728395061728395,0.13580246913580246
0.002,40.0,3,True,0.7037037037037037,1.0
0.002,40.0,2,True,1.0,1.0
0.002,40.0,19,True,0.12345679012345678,0.08641975308641975
0.002,40.0,3,True,0.3333333333333333,1.0
0.002,40.0,13,True,0.12345679012345678,0.1111111111111111
0.002,40.0,13,True,0.1728395061728395,0.09876543209876543
0.002,40.0,3,True,0.691358024691358,1.0
0.002,40.0,6,True,0.12345679012345678,0.08641975308641975
0.002,40.0,2,True,1.0,1.0
0.002,40.0,2,True,1.0,1.0
0.002,40.0,3,True,0.8641975308641975,1.0
0.002,40.0,17,True,0.09876543209876543,0.1111111111111111
0.002,40.0,2,True,1.0,1.0
0.002,40.0,3,True,0.2345679012345679,1.0
0.002,40.0,6,True,0.12345679012345678,0.09876543209876543
0.002,40.0,2,True,1.0,1.0
0.002,40.0,3,True,0.2962962962962963,1.0
0.002,40.0,2,True,1.0,1.0
0.002,40.0,2,True,1.0,1.0
0.002,40.0,7,True,0.20987654320987653,0.09876543209876543
0.002,40.0,4,True,0.18518518518518517,1.0
0.002,40.0,4,True,0.12345679012345678,1.0
0.002,45.0,10,True,0.12345679012345678,0.14814814814814814
0.002,45.0,18,True,0.1111111111111111,0.07407407407407407
0.002,45.0,10,True,0.08641975308641975,0.09876543209876543
0.002,45.0,6,True,0.12345679012345678,0.12345679012345678
