clue_fraction,n_known,target,iterations,top1_initial,top1_final,unknown_cell_acc_initial,unknown_cell_acc_final,exact_initial,exact_final
0.15,12,1954,10,0,0,0.13043478260869565,0.08695652173913043,0,0
0.15,12,1294,20,0,0,0.07246376811594203,0.10144927536231885,0,0
0.15,12,1606,20,0,0,0.057971014492753624,0.07246376811594203,0,0
0.15,12,1010,12,0,0,0.07246376811594203,0.10144927536231885,0,0
0.15,12,1573,7,0,0,0.11594202898550725,0.07246376811594203,0,0
0.15,12,575,20,0,0,0.11594202898550725,0.15942028985507245,0,0
0.15,12,310,17,0,0,0.08695652173913043,0.18840579710144928,0,0
0.15,12,1071,6,0,0,0.10144927536231885,0.043478260869565216,0,0
0.15,12,519,9,0,0,0.10144927536231885,0.10144927536231885,0,0
0.15,12,1699,7,0,0,0.10144927536231885,0.10144927536231885,0,0
0.15,12,1020,4,0,0,0.10144927536231885,0.11594202898550725,0,0
0.15,12,679,8,0,0,0.11594202898550725,0.17391304347826086,0,0
0.15,12,1623,20,0,0,0.057971014492753624,0.11594202898550725,0,0
0.15,12,1710,7,0,0,0.18840579710144928,0.057971014492753624,0,0
0.15,12,819,9,0,0,0.11594202898550725,0.14492753623188406,0,0
0.15,12,1114,8,0,0,0.13043478260869565,0.14492753623188406,0,0
0.15,12,1759,8,0,0,0.10144927536231885,0.15942028985507245,0,0
0.15,12,993,16,0,0,0.14492753623188406,0.07246376811594203,0,0
0.15,12,1538,5,0,0,0.11594202898550725,0.15942028985507245,0,0
0.15,12,576,7,0,0,0.10144927536231885,0.057971014492753624,0,0
0.15,12,884,20,0,0,0.10144927536231885,0.11594202898550725,0,0
0.15,12,367,19,0,0,0.10144927536231885,0.10144927536231885,0,0
0.15,12,1684,10,0,0,0.08695652173913043,0.15942028985507245,0,0
0.15,12,765,6,0,0,0.07246376811594203,0.07246376811594203,0,0
0.15,12,1147,4,0,0,0.11594202898550725,0.11594202898550725,0,0
0.15,12,1530,13,0,0,0.17391304347826086,0.15942028985507245,0,0
0.15,12,240,20,0,0,0.10144927536231885,0.11594202898550725,0,0
0.15,12,1257,8,0,0,0.10144927536231885,0.07246376811594203,0,0
0.15,12,1679,5,0,0,0.10144927536231885,0.10144927536231885,0,0
0.15,12,653,3,0,0,0.0,0.07246376811594203,0,0
0.15,12,1132,17,0,0,0.11594202898550725,0.057971014492753624,0,0
0.15,12,1829,20,0,0,0.17391304347826086,0.07246376811594203,0,0
0.15,12,104,5,0,0,0.13043478260869565,0.2028985507246377,0,0
0.15,12,1395,7,0,0,0.14492753623188406,0.13043478260869565,0,0
0.15,12,1089,6,0,0,0.13043478260869565,0.11594202898550725,0,0
0.15,12,687,9,0,0,0.14492753623188406,0.07246376811594203,0,0
0.15,12,815,7,0,0,0.057971014492753624,0.07246376811594203,0,0
0.15,12,1444,5,0,0,0.13043478260869565,0.10144927536231885,0,0
0.15,12,941,9,0,0,0.13043478260869565,0.07246376811594203,0,0
