dataset,sigma,target,cleaned_overlap,exact,knn_exact
MNIST,0.3,95,1.0,1,1
MNIST,0.3,123,1.0,1,1
MNIST,0.3,124,1.0,1,1
MNIST,0.3,94,1.0,1,1
MNIST,0.3,82,1.0,1,1
MNIST,0.3,150,1.0,1,1
MNIST,0.3,96,1.0,1,1
MNIST,0.3,134,1.0,1,1
MNIST,0.3,168,1.0,1,1
MNIST,0.3,99,1.0,1,1
MNIST,0.3,124,1.0,1,1
MNIST,0.3,102,1.0,1,1
MNIST,0.3,89,1.0,1,1
MNIST,0.3,20,1.0,1,1
MNIST,0.3,29,1.0,1,1
MNIST,0.3,173,1.0,1,1
MNIST,0.3,3,1.0,1,1
MNIST,0.3,20,1.0,1,1
MNIST,0.3,105,1.0,1,1
MNIST,0.3,174,1.0,1,1
MNIST,0.3,9,1.0,1,1
MNIST,0.3,108,1.0,1,1
MNIST,0.3,137,1.0,1,1
MNIST,0.3,86,1.0,1,1
MNIST,0.3,8,1.0,1,1
MNIST,0.3,93,1.0,1,1
MNIST,0.3,87,1.0,1,1
MNIST,0.3,151,1.0,1,1
MNIST,0.3,154,1.0,1,1
MNIST,0.3,168,1.0,1,1
MNIST,0.3,15,1.0,1,1
MNIST,0.3,108,1.0,1,1
MNIST,0.3,5,1.0,1,1
MNIST,0.3,180,1.0,1,1
MNIST,0.3,134,1.0,1,1
MNIST,0.3,84,1.0,1,1
MNIST,0.3,114,1.0,1,1
MNIST,0.3,173,1.0,1,1
MNIST,0.3,150,1.0,1,1
MNIST,0.3,149,1.0,1,1
MNIST,0.3,32,1.0,1,1
MNIST,0.3,175,1.0,1,1
