sigma,true_class,overlap_W_IH_vs_target,overlap_W_IMG_self_consistency
0.2,6,0.52,0.7333333333333333
0.2,4,0.22,0.78
0.2,4,0.6666666666666666,0.7466666666666667
0.2,4,0.38,0.7466666666666667
0.2,1,0.42,0.7066666666666667
0.2,4,0.6466666666666666,0.76
0.2,7,0.02666666666666667,0.7666666666666667
0.2,3,0.16666666666666666,0.7466666666666667
0.2,4,0.19333333333333333,0.6866666666666666
0.2,7,0.18,0.66
0.2,7,0.6866666666666666,0.6733333333333333
0.2,5,0.19333333333333333,0.7066666666666667
0.2,5,0.08666666666666667,0.76
0.2,3,0.21333333333333335,0.7733333333333333
0.2,6,0.15333333333333332,0.7733333333333333
0.2,2,0.9933333333333333,0.74
0.2,4,0.46,0.6466666666666666
0.2,6,0.5733333333333334,0.7533333333333333
0.2,5,0.5266666666666666,0.6866666666666666
0.2,7,0.6466666666666666,0.7533333333333333
0.2,7,0.11333333333333333,0.7733333333333333
0.2,7,0.54,0.74
0.2,7,0.16666666666666666,0.7133333333333334
0.2,9,0.09333333333333334,0.7733333333333333
0.2,6,0.10666666666666667,0.7666666666666667
0.2,6,0.4,0.7333333333333333
0.2,3,0.2733333333333333,0.8066666666666666
0.2,5,0.8133333333333334,0.7466666666666667
0.2,6,0.04,0.76
0.2,9,0.22,0.74
0.2,7,0.3,0.7466666666666667
0.2,4,0.09333333333333334,0.7733333333333333
0.2,9,0.7133333333333334,0.7266666666666667
0.2,9,0.14,0.7866666666666666
0.2,7,0.31333333333333335,0.7533333333333333
0.2,5,0.37333333333333335,0.7533333333333333
0.2,2,0.1,0.7333333333333333
0.2,8,0.20666666666666667,0.8133333333333334
0.2,9,0.2,0.7666666666666667
0.2,2,0.82,0.7266666666666667
0.2,7,0.26,0.78
0.2,2,0.5866666666666667,0.7266666666666667
0.2,2,0.10666666666666667,0.72
0.2,1,0.3,0.6533333333333333
0.2,8,0.02,0.72
0.2,8,0.10666666666666667,0.7266666666666667
0.2,1,0.4,0.7533333333333333
0.2,4,0.34,0.6133333333333333
0.2,5,0.2733333333333333,0.7333333333333333
0.2,4,0.23333333333333334,0.78
0.2,9,0.31333333333333335,0.7466666666666667
0.2,1,0.3333333333333333,0.6666666666666666
0.2,1,0.5933333333333334,0.6066666666666667
0.2,9,0.52,0.7266666666666667
0.2,1,0.7466666666666667,0.68
0.2,4,0.22,0.78
0.2,7,0.4066666666666667,0.7066666666666667
0.2,9,0.24666666666666667,0.68
0.3,9,0.22,0.6466666666666666
0.3,5,0.23333333333333334,0.6266666666666667
0.3,3,0.14666666666666667,0.54
0.3,8,0.06666666666666667,0.64
0.3,7,0.4066666666666667,0.5933333333333334
0.3,2,0.2,0.6
0.3,7,0.2866666666666667,0.66
0.3,4,0.54,0.58
0.3,8,0.006666666666666667,0.7
0.3,6,0.6266666666666667,0.6533333333333333
0.3,1,0.48,0.62
0.3,2,0.29333333333333333,0.62
0.3,3,0.14666666666666667,0.6733333333333333
0.3,6,0.28,0.7133333333333334
