M,noise_percent,iterations,converged,initial_acc,final_acc
2000,45.0,5,True,0.12345679012345678,0.1111111111111111
2000,45.0,20,True,0.08641975308641975,0.16049382716049382
2000,45.0,13,True,0.16049382716049382,0.18518518518518517
2000,45.0,14,True,0.12345679012345678,0.12345679012345678
2000,45.0,20,False,0.07407407407407407,0.09876543209876543
2000,45.0,4,True,0.08641975308641975,0.08641975308641975
2000,45.0,6,True,0.12345679012345678,0.18518518518518517
2000,48.0,20,True,0.13580246913580246,0.09876543209876543
2000,48.0,15,True,0.1111111111111111,0.12345679012345678
2000,48.0,5,True,0.08641975308641975,0.024691358024691357
2000,48.0,8,True,0.06172839506172839,0.12345679012345678
2000,48.0,15,True,0.09876543209876543,0.07407407407407407
2000,48.0,19,True,0.09876543209876543,0.14814814814814814
2000,48.0,10,True,0.07407407407407407,0.2716049382716049
2000,48.0,13,True,0.09876543209876543,0.1728395061728395
2000,48.0,5,True,0.07407407407407407,0.14814814814814814
2000,48.0,4,True,0.13580246913580246,0.12345679012345678
2000,48.0,7,True,0.14814814814814814,0.09876543209876543
2000,48.0,5,True,0.1111111111111111,0.08641975308641975
2000,48.0,20,False,0.12345679012345678,0.08641975308641975
2000,48.0,3,True,0.13580246913580246,0.1111111111111111
2000,48.0,9,True,0.13580246913580246,0.13580246913580246
2000,48.0,9,True,0.1728395061728395,0.07407407407407407
2000,48.0,3,True,0.09876543209876543,0.1111111111111111
2000,48.0,12,True,0.13580246913580246,0.13580246913580246
2000,48.0,3,True,0.1728395061728395,0.18518518518518517
2000,48.0,6,True,0.08641975308641975,0.06172839506172839
2000,48.0,11,True,0.12345679012345678,0.08641975308641975
2000,48.0,20,False,0.08641975308641975,0.1111111111111111
2000,48.0,12,True,0.14814814814814814,0.07407407407407407
2000,48.0,3,True,0.1111111111111111,0.1111111111111111
2000,48.0,17,True,0.14814814814814814,0.08641975308641975
2000,48.0,4,True,0.14814814814814814,0.037037037037037035
2000,48.0,20,False,0.08641975308641975,0.14814814814814814
2000,48.0,5,True,0.1111111111111111,0.20987654320987653
2000,48.0,8,True,0.08641975308641975,0.04938271604938271
2000,48.0,11,True,0.08641975308641975,0.13580246913580246
2000,48.0,3,True,0.14814814814814814,0.09876543209876543
2000,48.0,7,True,0.16049382716049382,0.04938271604938271
2000,48.0,9,True,0.09876543209876543,0.08641975308641975
2000,48.0,5,True,0.07407407407407407,0.14814814814814814
2000,48.0,18,True,0.13580246913580246,0.06172839506172839
2000,48.0,7,True,0.09876543209876543,0.06172839506172839
2000,48.0,5,True,0.12345679012345678,0.13580246913580246
2000,48.0,3,True,0.13580246913580246,0.13580246913580246
2000,48.0,7,True,0.08641975308641975,1.0
2000,48.0,8,True,0.12345679012345678,0.1111111111111111
2000,48.0,10,True,0.08641975308641975,0.12345679012345678
2000,48.0,8,True,0.12345679012345678,0.04938271604938271
2000,48.0,10,True,0.1728395061728395,0.13580246913580246
2000,48.0,9,True,0.1111111111111111,0.1111111111111111
2000,48.0,5,True,0.09876543209876543,0.06172839506172839
2000,48.0,10,True,0.09876543209876543,0.04938271604938271
2000,48.0,13,True,0.1111111111111111,0.20987654320987653
2000,48.0,5,True,0.1728395061728395,0.08641975308641975
2000,48.0,14,True,0.13580246913580246,0.1111111111111111
2000,48.0,15,True,0.14814814814814814,0.1111111111111111
2000,50.0,5,True,0.08641975308641975,0.13580246913580246
2000,50.0,5,True,0.09876543209876543,0.07407407407407407
2000,50.0,20,False,0.18518518518518517,0.12345679012345678
2000,50.0,6,True,0.16049382716049382,0.16049382716049382
2000,50.0,19,True,0.04938271604938271,0.07407407407407407
2000,50.0,12,True,0.07407407407407407,0.08641975308641975
2000,50.0,20,False,0.1111111111111111,0.08641975308641975
2000,50.0,20,False,0.08641975308641975,0.08641975308641975
2000,50.0,4,True,0.08641975308641975,0.12345679012345678
2000,50.0,3,True,0.12345679012345678,0.16049382716049382
2000,50.0,9,True,0.07407407407407407,0.04938271604938271
2000,50.0,20,True,0.14814814814814814,0.13580246913580246
2000,50.0,13,True,0.08641975308641975,0.037037037037037035
2000,50.0,13,True,0.07407407407407407,0.1111111111111111
2000,50.0,9,True,0.13580246913580246,0.18518518518518517
2000,50.0,15,True,0.09876543209876543,0.09876543209876543
2000,50.0,20,False,0.08641975308641975,0.14814814814814814
2000,50.0,4,True,0.12345679012345678,0.09876543209876543
2000,50.0,18,True,0.08641975308641975,0.13580246913580246
2000,50.0,3,True,0.07407407407407407,0.13580246913580246
2000,50.0,20,False,0.07407407407407407,0.13580246913580246
2000,50.0,15,True,0.07407407407407407,0.13580246913580246
2000,50.0,9,True,0.1111111111111111,0.12345679012345678
2000,50.0,20,False,0.09876543209876543,0.09876543209876543
2000,50.0,6,True,0.08641975308641975,0.1111111111111111
2000,50.0,8,True,0.14814814814814814,0.06172839506172839
2000,50.0,5,True,0.09876543209876543,0.06172839506172839
2000,50.0,20,False,0.12345679012345678,0.07407407407407407
2000,50.0,3,True,0.16049382716049382,0.18518518518518517
2000,50.0,5,True,0.08641975308641975,0.06172839506172839
2000,50.0,5,True,0.13580246913580246,0.06172839506172839
2000,50.0,9,True,0.06172839506172839,0.14814814814814814
2000,50.0,4,True,0.1111111111111111,0.1728395061728395
2000,50.0,3,True,0.09876543209876543,0.13580246913580246
2000,50.0,4,True,0.08641975308641975,0.08641975308641975
2000,50.0,6,True,0.14814814814814814,0.1111111111111111
2000,50.0,4,True,0.08641975308641975,0.14814814814814814
2000,50.0,14,True,0.08641975308641975,0.12345679012345678
2000,50.0,6,True,0.13580246913580246,0.1111111111111111
2000,50.0,12,True,0.13580246913580246,0.14814814814814814
2000,50.0,12,True,0.1111111111111111,0.06172839506172839
2000,50.0,9,True,0.16049382716049382,0.09876543209876543
2000,50.0,7,True,0.09876543209876543,0.12345679012345678
2000,50.0,11,True,0.14814814814814814,0.08641975308641975
2000,50.0,3,True,0.08641975308641975,0.13580246913580246
2000,50.0,5,True,0.12345679012345678,0.13580246913580246
2000,50.0,7,True,0.1111111111111111,0.06172839506172839
2000,50.0,16,True,0.06172839506172839,0.04938271604938271
2000,50.0,20,True,0.14814814814814814,0.16049382716049382
2000,50.0,18,True,0.1111111111111111,0.09876543209876543
2000,55.00000000000001,5,True,0.1111111111111111,0.07407407407407407
2000,55.00000000000001,7,True,0.1111111111111111,0.1728395061728395
