config,dataset,M,img_dim,sigma,target,initial_overlap,cleaned_overlap,exact,recon_corr_initial,recon_corr_cleaned
MNIST M=200 (baseline),mnist,200,784,0.5,175,0.47333333333333333,1.0,1,0.7023731879244871,0.9999999999994457
MNIST M=200 (baseline),mnist,200,784,0.5,194,0.37333333333333335,0.20666666666666667,0,0.5198005467785559,-0.018145680334281444
MNIST M=200 (baseline),mnist,200,784,0.5,156,0.4066666666666667,1.0,1,0.6419107773206443,0.9999999999995716
MNIST M=200 (baseline),mnist,200,784,0.5,62,0.25333333333333335,0.21333333333333335,0,0.5161284776042974,0.22326683689024157
MNIST M=200 (baseline),mnist,200,784,0.5,91,0.44666666666666666,1.0,1,0.5951517019620409,0.9999999999996921
MNIST M=200 (baseline),mnist,200,784,0.5,139,0.5,1.0,1,0.680711462023925,0.999999999999624
MNIST M=200 (baseline),mnist,200,784,0.5,130,0.2733333333333333,0.22666666666666666,0,0.38726809927296696,0.2717166543253835
MNIST M=200 (baseline),mnist,200,784,0.5,165,0.32666666666666666,0.2,0,0.39345579268578806,0.22534459911138954
MNIST M=200 (baseline),mnist,200,784,0.5,4,0.4266666666666667,0.2,0,0.7876430267127061,0.1592480549301122
MNIST M=200 (baseline),mnist,200,784,0.5,107,0.42,1.0,1,0.5716877670556127,0.9999999999996344
MNIST M=200 (baseline),mnist,200,784,0.5,77,0.44666666666666666,1.0,1,0.5670497032315049,0.9999999999993895
MNIST M=200 (baseline),mnist,200,784,0.5,139,0.37333333333333335,0.20666666666666667,0,0.5899061007105367,0.37017444944051386
MNIST M=200 (baseline),mnist,200,784,0.5,183,0.38,0.17333333333333334,0,0.7563319856244288,0.31567977409747244
MNIST M=200 (baseline),mnist,200,784,0.5,163,0.28,0.18666666666666668,0,0.5405099670612976,0.22650109852306188
MNIST M=200 (baseline),mnist,200,784,0.5,135,0.36,1.0,1,0.7578571987033689,0.9999999999997367
MNIST M=200 (baseline),mnist,200,784,0.5,34,0.42,1.0,1,0.7699054478550159,0.9999999999996939
MNIST M=200 (baseline),mnist,200,784,0.5,50,0.32666666666666666,0.23333333333333334,0,0.6222691689182351,0.23300343662354592
MNIST M=200 (baseline),mnist,200,784,0.5,23,0.36,0.24,0,0.6435968109079887,0.42980794897837954
MNIST M=200 (baseline),mnist,200,784,0.5,64,0.35333333333333333,1.0,1,0.6976736522981778,0.9999999999996709
MNIST M=200 (baseline),mnist,200,784,0.5,149,0.37333333333333335,0.24666666666666667,0,0.6325069354906331,0.13819320467203694
MNIST M=200 (baseline),mnist,200,784,0.5,97,0.43333333333333335,1.0,1,0.632488217181714,0.9999999999997867
